SPOT :timeStamp:,SPOT :volume:,SPOT :close:,SPOT :high:,SPOT :low:,SPOT :open:,SPOT :close:,SPOT :oi:,CURRENT :timeStamp:,CURRENT :volume:,CURRENT :close:,CURRENT :high:,CURRENT :low:,CURRENT :open:,CURRENT :close:,CURRENT :oi:,NEXT :timeStamp:,NEXT :volume:,NEXT :close:,NEXT :high:,NEXT :low:,NEXT :open:,NEXT :close:,NEXT :oi:
2021-04-08T11:12:00+0530,30931,214.7,215.0,214.7,215.0,214.7,0,2021-04-08T11:12:00+0530,86400,216.0,216.35,216.0,216.35,216.0,108694400,2021-04-08T11:12:00+0530,0,215.9,215.9,215.9,215.9,215.9,7625600
2021-04-08T11:13:00+0530,15511,214.7,214.75,214.6,214.7,214.7,0,2021-04-08T11:13:00+0530,115200,216.0,216.15,216.0,216.0,216.0,108694400,2021-04-08T11:13:00+0530,3200,215.7,215.9,215.7,215.7,215.7,7628800
2021-04-08T11:14:00+0530,7933,214.7,214.75,214.65,214.65,214.7,0,2021-04-08T11:14:00+0530,3200,216.0,216.0,216.0,216.0,216.0,108694400,2021-04-08T11:14:00+0530,0,215.7,215.7,215.7,215.7,215.7,7628800
2021-04-08T11:15:00+0530,7043,214.75,214.8,214.65,214.7,214.75,0,2021-04-08T11:15:00+0530,25600,216.0,216.05,216.0,216.0,216.0,108707200,2021-04-08T11:15:00+0530,0,215.7,215.7,215.7,215.7,215.7,7628800
2021-04-08T11:16:00+0530,7498,214.7,214.8,214.7,214.7,214.7,0,2021-04-08T11:16:00+0530,9600,216.0,216.05,216.0,216.0,216.0,108707200,2021-04-08T11:16:00+0530,3200,215.85,215.85,215.7,215.7,215.85,7632000
2021-04-08T11:17:00+0530,23370,214.7,214.85,214.65,214.8,214.7,0,2021-04-08T11:17:00+0530,67200,216.05,216.05,215.95,216.0,216.05,108707200,2021-04-08T11:17:00+0530,3200,215.65,215.85,215.65,215.85,215.65,7632000
2021-04-08T11:18:00+0530,9927,214.75,214.75,214.65,214.7,214.75,0,2021-04-08T11:18:00+0530,16000,216.0,216.1,216.0,216.05,216.0,108672000,2021-04-08T11:18:00+0530,0,215.75,215.75,215.65,215.65,215.75,7632000
2021-04-08T11:19:00+0530,11465,214.8,214.85,214.65,214.75,214.8,0,2021-04-08T11:19:00+0530,12800,216.1,216.1,216.0,216.0,216.1,108672000,2021-04-08T11:19:00+0530,16000,215.8,215.8,215.75,215.75,215.8,7632000
2021-04-08T11:20:00+0530,7545,214.65,214.85,214.65,214.8,214.65,0,2021-04-08T11:20:00+0530,25600,216.0,216.1,216.0,216.1,216.0,108681600,2021-04-08T11:20:00+0530,32000,215.65,215.8,215.65,215.8,215.65,7632000
2021-04-08T11:21:00+0530,5516,214.75,214.75,214.65,214.7,214.75,0,2021-04-08T11:21:00+0530,16000,216.0,216.05,215.95,216.0,216.0,108681600,2021-04-08T11:21:00+0530,0,215.65,215.65,215.65,215.65,215.65,7632000
2021-04-08T11:22:00+0530,10879,214.8,214.8,214.65,214.7,214.8,0,2021-04-08T11:22:00+0530,9600,216.05,216.1,216.0,216.0,216.05,108681600,2021-04-08T11:22:00+0530,3200,215.65,215.65,215.65,215.65,215.65,7600000
2021-04-08T11:23:00+0530,13544,214.85,214.9,214.75,214.8,214.85,0,2021-04-08T11:23:00+0530,22400,216.15,216.2,216.05,216.05,216.15,108681600,2021-04-08T11:23:00+0530,6400,215.85,215.85,215.65,215.65,215.85,7600000
2021-04-08T11:24:00+0530,20945,214.75,214.95,214.75,214.85,214.75,0,2021-04-08T11:24:00+0530,9600,216.15,216.2,216.15,216.15,216.15,108681600,2021-04-08T11:24:00+0530,3200,215.85,215.85,215.85,215.85,215.85,7600000
2021-04-08T11:25:00+0530,5774,214.85,214.9,214.75,214.75,214.85,0,2021-04-08T11:25:00+0530,12800,216.15,216.2,216.15,216.15,216.15,108681600,2021-04-08T11:25:00+0530,0,215.85,215.85,215.85,215.85,215.85,7600000
2021-04-08T11:26:00+0530,23641,214.75,214.85,214.65,214.85,214.75,0,2021-04-08T11:26:00+0530,16000,216.0,216.15,216.0,216.15,216.0,108681600,2021-04-08T11:26:00+0530,3200,215.7,215.7,215.7,215.7,215.7,7600000
2021-04-08T11:27:00+0530,13747,214.7,214.8,214.65,214.8,214.7,0,2021-04-08T11:27:00+0530,16000,216.0,216.0,216.0,216.0,216.0,108697600,2021-04-08T11:27:00+0530,12800,215.7,215.7,215.5,215.7,215.7,7600000
2021-04-08T11:28:00+0530,13864,214.7,214.75,214.65,214.65,214.7,0,2021-04-08T11:28:00+0530,6400,216.0,216.0,216.0,216.0,216.0,108697600,2021-04-08T11:28:00+0530,0,215.7,215.7,215.7,215.7,215.7,7600000
2021-04-08T11:29:00+0530,25417,214.65,214.75,214.6,214.7,214.65,0,2021-04-08T11:29:00+0530,6400,215.9,216.0,215.9,216.0,215.9,108697600,2021-04-08T11:29:00+0530,12800,215.5,215.7,215.5,215.7,215.5,7600000
2021-04-08T11:30:00+0530,33691,214.6,214.75,214.6,214.65,214.6,0,2021-04-08T11:30:00+0530,12800,216.0,216.0,215.95,215.95,216.0,108691200,2021-04-08T11:30:00+0530,0,215.5,215.5,215.5,215.5,215.5,7600000
2021-04-08T11:31:00+0530,7091,214.65,214.7,214.55,214.55,214.65,0,2021-04-08T11:31:00+0530,0,216.0,216.0,216.0,216.0,216.0,108691200,2021-04-08T11:31:00+0530,0,215.5,215.5,215.5,215.5,215.5,7600000
2021-04-08T11:32:00+0530,8150,214.65,214.65,214.55,214.65,214.65,0,2021-04-08T11:32:00+0530,9600,215.9,216.0,215.9,216.0,215.9,108691200,2021-04-08T11:32:00+0530,0,215.5,215.5,215.5,215.5,215.5,7600000
2021-04-08T11:33:00+0530,25660,214.6,214.8,214.55,214.65,214.6,0,2021-04-08T11:33:00+0530,16000,216.0,216.05,215.9,215.9,216.0,108691200,2021-04-08T11:33:00+0530,6400,215.55,215.55,215.5,215.5,215.55,7587200
2021-04-08T11:34:00+0530,12920,214.75,214.75,214.6,214.65,214.75,0,2021-04-08T11:34:00+0530,6400,215.95,216.0,215.95,216.0,215.95,108691200,2021-04-08T11:34:00+0530,6400,215.6,215.6,215.6,215.6,215.6,7587200
2021-04-08T11:35:00+0530,10947,214.6,214.75,214.6,214.75,214.6,0,2021-04-08T11:35:00+0530,6400,216.0,216.05,215.95,215.95,216.0,108691200,2021-04-08T11:35:00+0530,0,215.6,215.6,215.6,215.6,215.6,7587200
2021-04-08T11:36:00+0530,13816,214.65,214.75,214.6,214.6,214.65,0,2021-04-08T11:36:00+0530,6400,215.95,216.0,215.95,216.0,215.95,108684800,2021-04-08T11:36:00+0530,0,215.6,215.6,215.6,215.6,215.6,7587200
2021-04-08T11:37:00+0530,79739,214.45,214.8,214.45,214.7,214.45,0,2021-04-08T11:37:00+0530,51200,215.8,215.95,215.8,215.95,215.8,108684800,2021-04-08T11:37:00+0530,6400,215.55,215.6,215.5,215.6,215.55,7593600
2021-04-08T11:38:00+0530,45955,214.35,214.5,214.3,214.45,214.35,0,2021-04-08T11:38:00+0530,41600,215.7,215.8,215.7,215.8,215.7,108684800,2021-04-08T11:38:00+0530,0,215.55,215.55,215.55,215.55,215.55,7593600
2021-04-08T11:39:00+0530,28277,214.3,214.5,214.3,214.3,214.3,0,2021-04-08T11:39:00+0530,44800,215.8,215.8,215.65,215.7,215.8,108681600,2021-04-08T11:39:00+0530,6400,215.4,215.55,215.3,215.55,215.4,7596800
2021-04-08T11:40:00+0530,50024,214.4,214.4,214.25,214.35,214.4,0,2021-04-08T11:40:00+0530,51200,215.7,215.8,215.6,215.8,215.7,108681600,2021-04-08T11:40:00+0530,9600,215.4,215.4,215.4,215.4,215.4,7596800
2021-04-08T11:41:00+0530,16716,214.25,214.4,214.25,214.3,214.25,0,2021-04-08T11:41:00+0530,25600,215.7,215.7,215.6,215.7,215.7,108681600,2021-04-08T11:41:00+0530,0,215.4,215.4,215.4,215.4,215.4,7596800
2021-04-08T11:42:00+0530,13271,214.4,214.4,214.25,214.25,214.4,0,2021-04-08T11:42:00+0530,19200,215.65,215.7,215.6,215.6,215.65,108672000,2021-04-08T11:42:00+0530,0,215.4,215.4,215.4,215.4,215.4,7596800
2021-04-08T11:43:00+0530,21313,214.4,214.45,214.3,214.4,214.4,0,2021-04-08T11:43:00+0530,12800,215.8,215.8,215.65,215.65,215.8,108672000,2021-04-08T11:43:00+0530,0,215.4,215.4,215.4,215.4,215.4,7596800
2021-04-08T11:44:00+0530,12481,214.3,214.45,214.3,214.35,214.3,0,2021-04-08T11:44:00+0530,9600,215.75,215.8,215.75,215.8,215.75,108672000,2021-04-08T11:44:00+0530,3200,215.4,215.4,215.4,215.4,215.4,7612800
2021-04-08T11:45:00+0530,15768,214.4,214.45,214.3,214.35,214.4,0,2021-04-08T11:45:00+0530,28800,215.75,215.75,215.7,215.75,215.75,108675200,2021-04-08T11:45:00+0530,6400,215.3,215.45,215.3,215.45,215.3,7616000
2021-04-08T11:46:00+0530,79152,214.3,214.35,214.1,214.35,214.3,0,2021-04-08T11:46:00+0530,169600,215.6,215.75,215.4,215.65,215.6,108675200,2021-04-08T11:46:00+0530,12800,215.15,215.3,215.1,215.3,215.15,7616000
2021-04-08T11:47:00+0530,17520,214.15,214.3,214.15,214.3,214.15,0,2021-04-08T11:47:00+0530,32000,215.55,215.6,215.5,215.6,215.55,108675200,2021-04-08T11:47:00+0530,19200,215.1,215.3,215.05,215.1,215.1,7616000
2021-04-08T11:48:00+0530,23849,214.25,214.3,214.1,214.15,214.25,0,2021-04-08T11:48:00+0530,38400,215.65,215.65,215.55,215.55,215.65,108729600,2021-04-08T11:48:00+0530,0,215.1,215.1,215.1,215.1,215.1,7616000
2021-04-08T11:49:00+0530,32830,214.2,214.4,214.2,214.25,214.2,0,2021-04-08T11:49:00+0530,16000,215.6,215.7,215.6,215.65,215.6,108729600,2021-04-08T11:49:00+0530,0,215.1,215.1,215.1,215.1,215.1,7616000
2021-04-08T11:50:00+0530,11846,214.4,214.4,214.15,214.2,214.4,0,2021-04-08T11:50:00+0530,19200,215.7,215.7,215.55,215.6,215.7,108729600,2021-04-08T11:50:00+0530,0,215.1,215.1,215.1,215.1,215.1,7616000
2021-04-08T11:51:00+0530,18518,214.3,214.5,214.3,214.4,214.3,0,2021-04-08T11:51:00+0530,32000,215.65,215.85,215.65,215.7,215.65,108726400,2021-04-08T11:51:00+0530,3200,215.5,215.5,215.1,215.1,215.5,7612800
2021-04-08T11:52:00+0530,18879,214.25,214.4,214.25,214.35,214.25,0,2021-04-08T11:52:00+0530,0,215.65,215.65,215.65,215.65,215.65,108726400,2021-04-08T11:52:00+0530,0,215.5,215.5,215.5,215.5,215.5,7612800
2021-04-08T11:53:00+0530,12713,214.3,214.3,214.2,214.25,214.3,0,2021-04-08T11:53:00+0530,6400,215.7,215.7,215.65,215.65,215.7,108726400,2021-04-08T11:53:00+0530,0,215.5,215.5,215.5,215.5,215.5,7612800
2021-04-08T11:54:00+0530,13200,214.25,214.3,214.25,214.3,214.25,0,2021-04-08T11:54:00+0530,12800,215.65,215.65,215.65,215.65,215.65,108739200,2021-04-08T11:54:00+0530,0,215.5,215.5,215.5,215.5,215.5,7612800
2021-04-08T11:55:00+0530,23475,214.15,214.3,214.15,214.3,214.15,0,2021-04-08T11:55:00+0530,28800,215.55,215.65,215.55,215.65,215.55,108739200,2021-04-08T11:55:00+0530,6400,215.15,215.5,215.15,215.5,215.15,7609600
2021-04-08T11:56:00+0530,18664,214.1,214.25,214.1,214.15,214.1,0,2021-04-08T11:56:00+0530,57600,215.4,215.55,215.4,215.55,215.4,108739200,2021-04-08T11:56:00+0530,0,215.15,215.15,215.15,215.15,215.15,7609600
2021-04-08T11:57:00+0530,104724,214.1,214.2,214.05,214.15,214.1,0,2021-04-08T11:57:00+0530,44800,215.55,215.55,215.4,215.55,215.55,108675200,2021-04-08T11:57:00+0530,3200,215.2,215.2,215.15,215.15,215.2,7612800
2021-04-08T11:58:00+0530,12472,214.2,214.2,214.1,214.15,214.2,0,2021-04-08T11:58:00+0530,6400,215.55,215.55,215.55,215.55,215.55,108675200,2021-04-08T11:58:00+0530,3200,215.25,215.25,215.2,215.2,215.25,7612800
2021-04-08T11:59:00+0530,17825,214.3,214.35,214.15,214.15,214.3,0,2021-04-08T11:59:00+0530,25600,215.65,215.65,215.55,215.55,215.65,108675200,2021-04-08T11:59:00+0530,3200,215.25,215.25,215.25,215.25,215.25,7612800
2021-04-08T12:00:00+0530,20078,214.25,214.3,214.15,214.25,214.25,0,2021-04-08T12:00:00+0530,9600,215.6,215.65,215.6,215.65,215.6,108678400,2021-04-08T12:00:00+0530,0,215.25,215.25,215.25,215.25,215.25,7612800
2021-04-08T12:01:00+0530,7648,214.35,214.35,214.2,214.25,214.35,0,2021-04-08T12:01:00+0530,19200,215.7,215.75,215.6,215.6,215.7,108678400,2021-04-08T12:01:00+0530,0,215.25,215.25,215.25,215.25,215.25,7612800
2021-04-08T12:02:00+0530,17613,214.3,214.35,214.25,214.3,214.3,0,2021-04-08T12:02:00+0530,25600,215.65,215.7,215.65,215.7,215.65,108678400,2021-04-08T12:02:00+0530,0,215.25,215.25,215.25,215.25,215.25,7612800
2021-04-08T12:03:00+0530,58175,214.35,214.4,214.15,214.25,214.35,0,2021-04-08T12:03:00+0530,128000,215.7,215.7,215.45,215.65,215.7,108688000,2021-04-08T12:03:00+0530,38400,215.2,215.2,215.2,215.2,215.2,7628800
2021-04-08T12:04:00+0530,24568,214.3,214.5,214.3,214.3,214.3,0,2021-04-08T12:04:00+0530,12800,215.75,215.8,215.7,215.7,215.75,108688000,2021-04-08T12:04:00+0530,0,215.2,215.2,215.2,215.2,215.2,7628800
2021-04-08T12:05:00+0530,45152,214.2,214.3,214.2,214.3,214.2,0,2021-04-08T12:05:00+0530,16000,215.6,215.75,215.55,215.75,215.6,108688000,2021-04-08T12:05:00+0530,0,215.2,215.2,215.2,215.2,215.2,7628800
2021-04-08T12:06:00+0530,14406,214.2,214.3,214.15,214.25,214.2,0,2021-04-08T12:06:00+0530,16000,215.55,215.65,215.55,215.6,215.55,108681600,2021-04-08T12:06:00+0530,0,215.2,215.2,215.2,215.2,215.2,7628800
2021-04-08T12:07:00+0530,27008,214.2,214.3,214.15,214.15,214.2,0,2021-04-08T12:07:00+0530,9600,215.6,215.6,215.55,215.55,215.6,108681600,2021-04-08T12:07:00+0530,0,215.2,215.2,215.2,215.2,215.2,7628800
2021-04-08T12:08:00+0530,27137,214.3,214.35,214.1,214.15,214.3,0,2021-04-08T12:08:00+0530,54400,215.7,215.7,215.55,215.6,215.7,108681600,2021-04-08T12:08:00+0530,0,215.2,215.2,215.2,215.2,215.2,7628800
2021-04-08T12:09:00+0530,25057,214.25,214.45,214.25,214.25,214.25,0,2021-04-08T12:09:00+0530,22400,215.8,215.8,215.7,215.7,215.8,108704000,2021-04-08T12:09:00+0530,0,215.2,215.2,215.2,215.2,215.2,7628800
2021-04-08T12:10:00+0530,17254,214.25,214.4,214.2,214.2,214.25,0,2021-04-08T12:10:00+0530,64000,215.7,215.8,215.7,215.8,215.7,108704000,2021-04-08T12:10:00+0530,0,215.2,215.2,215.2,215.2,215.2,7628800
2021-04-08T12:11:00+0530,38318,214.15,214.35,214.1,214.2,214.15,0,2021-04-08T12:11:00+0530,134400,215.45,215.7,215.45,215.7,215.45,108704000,2021-04-08T12:11:00+0530,3200,215.3,215.3,215.2,215.2,215.3,7638400
2021-04-08T12:12:00+0530,19877,214.1,214.25,214.1,214.1,214.1,0,2021-04-08T12:12:00+0530,64000,215.45,215.6,215.45,215.6,215.45,108787200,2021-04-08T12:12:00+0530,6400,215.2,215.2,215.2,215.2,215.2,7638400
2021-04-08T12:13:00+0530,18982,214.1,214.2,214.05,214.1,214.1,0,2021-04-08T12:13:00+0530,12800,215.5,215.5,215.4,215.45,215.5,108787200,2021-04-08T12:13:00+0530,0,215.2,215.2,215.2,215.2,215.2,7638400
2021-04-08T12:14:00+0530,65652,214.1,214.2,214.0,214.05,214.1,0,2021-04-08T12:14:00+0530,28800,215.4,215.5,215.4,215.5,215.4,108787200,2021-04-08T12:14:00+0530,41600,215.0,215.2,215.0,215.2,215.0,7644800
2021-04-08T12:15:00+0530,45232,214.25,214.3,214.0,214.1,214.25,0,2021-04-08T12:15:00+0530,76800,215.65,215.65,215.35,215.4,215.65,108774400,2021-04-08T12:15:00+0530,28800,215.0,215.0,215.0,215.0,215.0,7612800
2021-04-08T12:16:00+0530,19060,214.3,214.35,214.2,214.25,214.3,0,2021-04-08T12:16:00+0530,25600,215.7,215.7,215.6,215.6,215.7,108774400,2021-04-08T12:16:00+0530,3200,215.35,215.35,215.0,215.0,215.35,7612800
2021-04-08T12:17:00+0530,52009,214.15,214.35,214.15,214.3,214.15,0,2021-04-08T12:17:00+0530,9600,215.65,215.75,215.65,215.7,215.65,108774400,2021-04-08T12:17:00+0530,3200,215.35,215.35,215.35,215.35,215.35,7612800
2021-04-08T12:18:00+0530,10893,214.3,214.35,214.15,214.15,214.3,0,2021-04-08T12:18:00+0530,6400,215.6,215.65,215.6,215.65,215.6,108774400,2021-04-08T12:18:00+0530,3200,215.3,215.35,215.3,215.35,215.3,7603200
